flower_id,sepal_length,sepal_width,petal_length,petal_width,variety
45,5.1,3.5,1.4,0.2,0
88,4.9,3,1.4,0.2,0
100,4.7,3.2,1.3,0.2,0
133,4.6,3.1,1.5,0.2,0
160,5,3.6,1.4,0.2,0
188,5.4,3.9,1.7,0.4,0
215,4.6,3.4,1.4,0.3,0
243,5,3.4,1.5,0.2,0
270,4.4,2.9,1.4,0.2,0
298,4.9,3.1,1.5,0.1,0
325,5.4,3.7,1.5,0.2,0
353,4.8,3.4,1.6,0.2,0
380,4.8,3,1.4,0.1,0
408,4.3,3,1.1,0.1,0
435,5.8,4,1.2,0.2,0
463,5.7,4.4,1.5,0.4,0
490,5.4,3.9,1.3,0.4,0
518,5.1,3.5,1.4,0.3,0
545,5.7,3.8,1.7,0.3,0
573,5.1,3.8,1.5,0.3,0
600,5.4,3.4,1.7,0.2,0
628,5.1,3.7,1.5,0.4,0
655,4.6,3.6,1,0.2,0
683,5.1,3.3,1.7,0.5,0
710,4.8,3.4,1.9,0.2,0
738,5,3,1.6,0.2,0
765,5,3.4,1.6,0.4,0
793,5.2,3.5,1.5,0.2,0
820,5.2,3.4,1.4,0.2,0
848,4.7,3.2,1.6,0.2,0
875,4.8,3.1,1.6,0.2,0
903,5.4,3.4,1.5,0.4,0
930,5.2,4.1,1.5,0.1,0
958,5.5,4.2,1.4,0.2,0
985,4.9,3.1,1.5,0.2,0
1013,5,3.2,1.2,0.2,0
1040,5.5,3.5,1.3,0.2,0
1068,4.9,3.6,1.4,0.1,0
1095,4.4,3,1.3,0.2,0
1123,5.1,3.4,1.5,0.2,0
1150,5,3.5,1.3,0.3,0
1178,4.5,2.3,1.3,0.3,0
1205,4.4,3.2,1.3,0.2,0
1233,5,3.5,1.6,0.6,0
1260,5.1,3.8,1.9,0.4,0
1288,4.8,3,1.4,0.3,0
1315,5.1,3.8,1.6,0.2,0
1343,4.6,3.2,1.4,0.2,0
1370,5.3,3.7,1.5,0.2,0
1398,5,3.3,1.4,0.2,0
1425,7,3.2,4.7,1.4,1
1453,6.4,3.2,4.5,1.5,1
1480,6.9,3.1,4.9,1.5,1
1508,5.5,2.3,4,1.3,1
1535,6.5,2.8,4.6,1.5,1
1563,5.7,2.8,4.5,1.3,1
1590,6.3,3.3,4.7,1.6,1
1618,4.9,2.4,3.3,1,1
1645,6.6,2.9,4.6,1.3,1
1673,5.2,2.7,3.9,1.4,1
1700,5,2,3.5,1,1
1728,5.9,3,4.2,1.5,1
1755,6,2.2,4,1,1
1783,6.1,2.9,4.7,1.4,1
1810,5.6,2.9,3.6,1.3,1
1838,6.7,3.1,4.4,1.4,1
1865,5.6,3,4.5,1.5,1
1893,5.8,2.7,4.1,1,1
1920,6.2,2.2,4.5,1.5,1
1948,5.6,2.5,3.9,1.1,1
1975,5.9,3.2,4.8,1.8,1
2003,6.1,2.8,4,1.3,1
2030,6.3,2.5,4.9,1.5,1
2058,6.1,2.8,4.7,1.2,1
2085,6.4,2.9,4.3,1.3,1
2113,6.6,3,4.4,1.4,1
2140,6.8,2.8,4.8,1.4,1
2168,6.7,3,5,1.7,1
2195,6,2.9,4.5,1.5,1
2223,5.7,2.6,3.5,1,1
2250,5.5,2.4,3.8,1.1,1
2278,5.5,2.4,3.7,1,1
2305,5.8,2.7,3.9,1.2,1
