street id,average vehicles per day,latitude,longitude,traffic size
2,14600,41.764877,-87.666635,Medium
3,16500,41.765008,-87.657067,Medium
9,8600,41.76626,-87.574226,Low
10,10000,41.739836,-87.551476,Medium
14,10800,41.820171,-87.606798,Medium
18,19100,41.775779,-87.605826,Medium
25,15300,41.854926,-87.67592,Medium
29,7000,41.827625,-87.675208,Low
31,10900,41.803741,-87.674569,Medium
36,19900,41.838419,-87.617465,Medium
45,7400,41.7504,-87.5528,Low
55,4400,41.787779,-87.620665,Low
60,24300,41.761454,-87.576196,High
66,18100,41.849344,-87.618459,Medium
70,13200,41.839562,-87.623493,Medium
71,8100,41.834369,-87.623323,Low
74,7900,41.796652,-87.622518,Low
75,8100,41.718658,-87.620521,Low
85,19300,41.777072,-87.62526,Medium
90,4500,41.853156,-87.631785,Low
94,11800,41.853553,-87.633392,Medium
100,38300,41.861874,-87.666256,High
103,23500,41.781444,-87.664267,High
106,26300,41.757724,-87.663608,High
107,26300,41.745469,-87.663314,High
111,23000,41.861478,-87.630255,High
119,13500,41.771775,-87.644579,Medium
120,16700,41.760683,-87.644298,Medium
125,16300,41.731171,-87.647028,Medium
130,29500,41.872427,-87.686197,High
136,40500,41.761813,-87.683164,High
137,27300,41.756743,-87.683025,High
138,30800,41.730457,-87.682356,High
142,20100,41.79459,-87.684058,High
143,43500,41.71675,-87.585043,High
147,61600,41.745515,-87.585819,High
154,11000,41.713352,-87.558074,Medium
155,12800,41.713772,-87.54362,Medium
160,2500,41.729262,-87.541841,Low
164,10800,41.779519,-87.661134,Medium
169,10300,41.773376,-87.582603,Medium
174,8000,41.755721,-87.671249,Low
175,15400,41.756101,-87.642566,Medium
179,33300,41.749936,-87.695059,High
187,11400,41.751849,-87.557322,Medium
193,9000,41.744086,-87.595315,Low
197,31600,41.735844,-87.659417,High
202,19400,41.736694,-87.601489,Medium
207,32900,41.721324,-87.653942,High
208,29100,41.721409,-87.647429,High
212,22000,41.722153,-87.597339,High
220,19100,41.764998,-87.60436,Medium
225,4200,41.863965,-87.661484,Low
226,5300,41.855898,-87.661264,Low
230,5900,41.77126,-87.659138,Low
235,2600,41.829325,-87.655686,Low
240,11100,41.76448,-87.6541,Medium
241,10700,41.753377,-87.653813,Medium
244,8500,41.85774,-87.632821,Low
245,8100,41.857869,-87.624476,Low
253,10200,41.830303,-87.682868,Medium
258,9600,41.831199,-87.613631,Low
259,6100,41.815858,-87.666235,Low
264,18100,41.808578,-87.667723,Medium
269,9600,41.801293,-87.667538,Low
273,8800,41.802072,-87.618178,Low
274,9100,41.80222,-87.608065,Low
277,33800,41.794244,-87.648908,High
281,11700,41.78671,-87.66752,Medium
285,6500,41.78747,-87.619044,Low
289,13700,41.852078,-87.682174,Medium
293,12300,41.852812,-87.637573,Medium
298,9700,41.802322,-87.600681,Low
299,7400,41.797123,-87.583995,Low
305,5300,41.828474,-87.65091,Low
309,15400,41.823602,-87.634859,Medium
313,31600,41.867145,-87.647525,High
317,6900,41.845391,-87.641581,Low
318,7800,41.84566,-87.622137,Low
321,2900,41.785874,-87.606038,Low
322,10100,41.759597,-87.653971,Medium
330,13400,41.786166,-87.584966,Medium
336,10600,41.874122,-87.670619,Medium
337,8800,41.874199,-87.665037,Low
341,4800,41.866652,-87.64217,Low
345,8900,41.872155,-87.633321,Low
350,2400,41.855226,-87.619095,Low
351,15600,41.875514,-87.639626,Medium
356,43000,41.782388,-87.584573,High
365,5000,41.766933,-87.610456,Low
366,6200,41.737236,-87.644725,Low
372,20100,41.876773,-87.671635,High
376,3200,41.818962,-87.645802,Low
379,3000,41.810689,-87.596855,Low
380,165200,41.860562,-87.617934,High
384,8300,41.70242,-87.628153,Low
385,22000,41.702738,-87.701224,High
389,30300,41.682968,-87.642082,High
397,21500,41.773922,-87.673756,High
398,19900,41.880815,-87.666819,Medium
404,39900,41.919517,-87.746187,High
408,21700,41.932463,-87.664643,High
411,22700,41.900144,-87.765583,High
412,9800,41.877113,-87.77081,Low
413,10800,41.882191,-87.768235,Medium
417,21700,41.919484,-87.769758,High
418,21800,41.931174,-87.77358,High
422,4700,41.651861,-87.54501,Low
430,23700,41.808295,-87.693288,High
431,14200,41.851933,-87.693114,Medium
438,39500,41.910014,-87.713878,High
442,27600,41.9753,-87.750239,High
446,34900,41.909705,-87.739646,High
451,18400,41.893244,-87.630017,Medium
452,7100,42.00544,-87.666635,Low
457,25600,41.976144,-87.671622,High
464,13700,41.885747,-87.628288,Medium
472,18000,41.771406,-87.720493,Medium
476,23300,41.793061,-87.739172,High
477,23600,41.808006,-87.712716,High
480,2900,41.859094,-87.704686,Low
485,11100,41.944804,-87.834785,Medium
486,23800,41.968273,-87.724989,High
489,38300,41.990343,-87.71242,High
490,44000,41.990529,-87.687864,High
498,17600,41.878356,-87.618837,Medium
506,13200,41.881177,-87.6854,Medium
511,27600,41.896397,-87.647745,High
514,15700,41.90103,-87.713491,Medium
518,18100,41.89675,-87.623095,Medium
519,11900,41.896787,-87.620252,Medium
520,10500,41.876846,-87.633902,Medium
524,20000,41.92398,-87.765989,High
531,17500,41.979107,-87.797633,Medium
539,11600,41.878904,-87.641098,Medium
543,17900,41.878484,-87.629312,Medium
546,13800,41.880547,-87.642755,Medium
550,7800,41.822739,-87.696963,Low
551,17700,41.837394,-87.696,Medium
553,8200,41.882781,-87.707473,Low
557,19000,41.883162,-87.644644,Medium
562,37900,41.924462,-87.728691,High
566,14200,41.891595,-87.633278,Medium
568,38300,41.964867,-87.688793,High
573,22600,41.69184,-87.676796,High
574,33700,41.878378,-87.745201,High
578,8000,41.69994,-87.618575,Low
582,23600,41.678624,-87.680741,High
586,24400,41.724079,-87.604556,High
593,27300,41.75174,-87.605221,High
598,24200,41.780314,-87.703172,High
602,24300,41.794916,-87.703597,High
608,25800,41.82387,-87.675108,High
613,18800,41.852795,-87.699117,Medium
617,21700,41.859508,-87.724975,High
625,14600,41.918295,-87.689798,Medium
630,22300,41.923557,-87.80624,High
631,17400,41.92573,-87.707248,Medium
635,19500,41.933425,-87.649035,Medium
